address,price,price_m2,bathrooms,size_construction,size,rooms,description,planta,exterior,preservation,floor_type,last_updated
El Fort Pienc (Distrito Eixample. Barcelona Capital),3.300 €, 17  €/m²,: 2,: 188 m² ,: 168 m² ,: 4,"
            Piso con mucha luz natural en alquiler, sin muebles de 188 m2, techos altos, con amplio recibidor,  cuatro habitaciones, (dos individuales y dos dobles), con balcón y terraza orientados a Gran Via, cocina office equipada, dos baños, uno con bañera y otro con plato de ducha y gran salón comedor, con galería a patio de manzana y orientada a sur. Calefacción individual a gas, suelos de parquet, armarios empotrados, persianas automáticas, en la segunda planta de una finca regia del año 1900, con ascensor y servicio de conserjería.",: 1ª,: A gran via y a patio de manzana,: Más de 50 años,,"
                Actualizado el 05/11/2023
            "
El Masnou,1.300 €, 12  €/m²,: 2,: 101 m² ,: 89 m² ,: 4,"
            Domussed Inmobilairis les presenta este afable Piso de 101m2 situado en El Masnou, donde lo mejor del mar y la tranquilidad se fusionan en uno solo. Ubicado en una Zona Residencial muy tranquila y muy bien comunicada.",: Bajo,: Entre 20 y 30 años,: En buen estado,,"
                Actualizado el 05/11/2023
            "
La Bordeta (Distrito Sants-Montjuïc. Barcelona Capital),1.600 €, 16  €/m²,: 2,: 96 m² ,: 96 m² ,: 4,"
            Disponible ya! Fantástico piso de 96 m2 con 4 habitaciones y un soleado BALCÓN en el barrio de La Bordeta!. Con PARKING incluido en el precio!!!!. Se entrega sin amueblar. Tiene 4 habitaciones: 2 dobles exteriores y 2 individuales que dan a patio interior. La cocina está equipada con encimera de gas, campana, horno y microondas y está hecha la instalación para lavaplatos si se quiere poner. La cocina es abierta al luminoso salón-comedor y comunica con el patio donde está la zona de lavadero-tendedero también con instalación preparada para la lavadora. Desde el amplio salón-comedor se accede cómodamente al balcón. Cuenta con 2 bonitos baños completos con ducha y mampara de cristal. El piso está en perfecto estado con equipamiento moderno de primeras calidades. Dispone de suelos de parquet, calefacción a gas y aire acondicionado, ventanas de aluminio con doble cristal y puerta blindada. Está en una entreplanta en finca con dos ascensores, ubicada en una zona con todo tipo de comercios y servicios alrededor y muy bien comunicado por metro (Santa Eulalia a 4 minutos andando L1) y diversas líneas de autobuses cercanas. El contrato es de larga estancia mínimo 3 años y se piden 2 meses de fianza.
        ",: Entresuelo,,: Entre 20 y 30 años,,"
                Actualizado el 05/11/2023
            "
La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),2.500 €, 41  €/m²,: 1,: 60 m² ,: 60 m² ,: 1,"
            Https://smartmovebcn.com/properties/beach-casita/",: 3ª,,: En buen estado,,"
                Actualizado el 05/11/2023
            "
Palau-solità i Plegamans,900 €, 10  €/m²,: 1,: 85 m² ,: 85 m² ,: 3,"
            Altura piso 1º, piso superficie total 85 m², superficie útil 85 m², hab. individuales: 2, habitaciones dobles: 1, 1 baño, balcón, calefacción (gas natural), carpintería exterior (aluminio), carpintería interior (cirere), estado conservación: buen estado, gas, terraza, suelos: gres, exterior, nivel energético de emisiones:  E, 54, nivel energético de consumo:  E, 240.
        ",: 1ª,,: En buen estado,,"
                Actualizado el 05/11/2023
            "
Zona Nord-La Serreta (Rubí),1.200 €, 10  €/m²,: 2,: 110 m² ,: 93 m² ,: 3,"
            Te presentamos este fabuloso dúplex de 93 m2. Se trata de una vivienda con una distribución muy práctica.",: 2ª,: Entre 10 y 20 años,: En buen estado,,"
                Actualizado el 23/10/2023
            "
La Maurina (Distrito Roc Blanc-La Maurina. Terrassa),700 €, 10  €/m²,: 1,: 65 m² ,: 58 m² ,: 2,"
            PLANTA BAJA EXCLUSIVA Y ACOJEDORA A CINCO MINUTOS DEL CAP OEST!",: Bajo,,: Más de 50 años,,"
                Actualizado el 05/11/2023
            "
La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),950 €, 14  €/m²,: 1,: 65 m² ,: 65 m² ,: 2,"
            Contrato de temporada por 11 meses. Piso perfecto para entrar a vivir en calle aribau. La vivienda consta de 2 habitaciones dobles, salón comedor, cocina independiente y baño completo. El piso es exterior a patio de manzana muy amplio y tranquilo. Sin amueblar.
        ",: 4ª,,: En buen estado,,"
                Actualizado el 03/11/2023
            "
El Carmel (Distrito Horta-Guinardó. Barcelona Capital),1.075 €, 13  €/m²,: 2ª,: 80 m² ,: 3,: 1,"
            Piso reformado de 80 m², que se distribuye en 3 habitaciones, salón comedor con salida a balcón, cocina amueblada y equipada y 1 baño con plato de ducha. Dispone de calefacción Individual. ",,: En buen estado,: XA24-0803-004496,,"
                Actualizado el 05/11/2023
            "
Centre Vila (Vilafranca del Penedès),800 €, 16  €/m²,: Bajo,: 50 m² ,: 1,: 1,"
            Vilafranca del Penedès. Centre. Rambla Sant Francesc. 8 Pisos de lloguer de 50m² a 60m², de 1 o 2 dormitoris, ascensor, terres de gres, cuina americana, bany, safareig, fusteria exterior de PVC, calefacció i arie condicionat elèctric per conductes amb bomba de calor. No saccepten animals de companyia, aval bancàri de limport de 6 mensualitats..
        ",,,: NF270-02830,,"
                Actualizado el 08/10/2023
            "
Ctra. de Vic-Remei (Manresa),695 €, 5  €/m²,: 2,: 116 m² ,: 87 m² ,: 3,"
            ",: 2ª,: SA816-CM02875/3377,,,"
                Actualizado el 05/11/2023
            "
Les Corts (Distrito Les Corts. Barcelona Capital),3.000 €,,: 2,: 109 m² ,: 93 m² ,: 1,"
            AP5421- Luminoso piso situado en el distrito de Sarrià-Sant Gervasi y concretamente en el barrio de Sant Gervasi - Galvany, una de las zonas más exclusivas y tranquilas de Barcelona donde hay multitud de comercios, hospitales, parques y diferentes medios de transporte público (metro, autobuses, y otros).",,: AG165-AP5421,,,"
                Actualizado el 05/11/2023
            "
Ctra. de Santpedor-Bases de Manresa (Manresa),750 €, 11  €/m²,: 1,: 65 m² ,: 70 m² ,: 3,"
            Aviso importante: consultin no prestará ningun servicio de alquiler, incluido visitas a inmuebles de arrendamiento,  a personas  que no sean clientes de esta entidad y hayan suscrito previamente un encargo de servicios que regule y garantice los derechos y obligaciones de las partes, siendo imprescindible de mostrar solvencia suficiente para adquirir el producto ofertado.  ",: 2ª,: Más de 50 años,: SA816-CM02544/3377,,"
                Actualizado el 05/11/2023
            "
Centre (Igualada),750 €, 5  €/m²,: 2,: 130 m² ,: 102 m² ,: 3,"
            Situat al centre d'Igualada, amb tots els serveis bàsics a l'abast, supermercats, centres mèdics, farmàcia, hospital,  escoles, botigues, zones esportives-verdes, parcs infantils.",: 2ª,: SA377-17929/1783_A,,,"
                Actualizado el 05/11/2023
            "
El Camp de l'Arpa del Clot (Distrito Sant Martí. Barcelona Capital),1.550 €,,,: 40 m² ,: 1,: 1,"
            EST4331 - Moderno loft situado en el distrito de Sant Martí y concretamente en el barrio del Camp de l''Arpa del Clot, una de las zonas más tranquilas de Barcelona donde albergan multitud de comercios, parques y diferentes medios de transporte público (autobuses, metro y otros). ",: AG165-EST4331,,,,"
                Actualizado el 05/11/2023
            "
El Camp de l'Arpa del Clot (Distrito Sant Martí. Barcelona Capital),2.250 €,,: 1,: 95 m² ,: 90 m² ,: 3,"
            AP1997 -  Fantástico piso listo para entrar a vivir, situado en el distrito de Sant Martí y concretamente en el barrio del Camp de l''Arpa del Clot, una de las zonas más tranquilas de Barcelona donde albergan multitud de comercios, parques y diferentes medios de transporte público (metro, autobuses y otros).",,: AG165-AP1997,,,"
                Actualizado el 05/11/2023
            "
Abrera,1.500 €,,: 4,: 200 m² ,: 198 m² ,: 305 m² ,"
            ALQUILER OPCION A COMPRA Casa independiente, a 25' de Barcelona. Consta de 198m2. Construidos en una parcela de 305m2. La vivienda esta distribuida de la siguiente manera; Garaje para varios vehículos, 1ª Planta Comedor con: 27m2. Independiente del resto de las estancias. Y salida a una amplia terraza delantera. Cocina, con salida al lateral de la parcela. 4-Habitaciones (1-Dobles) y (3-Individuales, amplias) 2-Cuartos de baño, . Planta 2ª 45m2. Diáfanos, tipo buhardilla. En los que se pude hacer divisiones y hacer otra vivienda tipo estudio, totalmente independiente, de la casa principal. Excelentes acabados tanto exteriores como interiores. Puertas: Haya Ventanas; Aluminio tipo climalit, eléctricas. Suelo; Porcelánico, Calefacción, Gas Natural, A. /A. Puertas de acceso vehículos automatizadas. Patio trasero, jardineras, etc. posibilidad de hacer una piscina propia! Empieza a respirar aire limpio y a disfrutar del sol y la luz natural. Como de los espacio abiertos. Sin renunciar a nada. Transporte publico, Colegios, Institutos, farmacia, Ocio, Etc.",: 2,: Unifamiliar,: Entre 10 y 20 años,,"
                Actualizado el 03/11/2023
            "
Caputxins-Santa Clara-Hospital (Vic),475 €,,: API158-HVICNOU567,: 7 m² ,: 1,: En buen estado,"
            ESTUDIANTS: Habitació doble per a llogar. Pis compartit de 4 habitacions, menjador i cuina exteriors. Tot equipat i moblat. El preu inclou despeses d'aigua llum, gas, internet i neteja..
        ",,,,,"
                Actualizado el 05/11/2023
            "
El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),3.000 €, 41  €/m²,: 1,: 72 m² ,: 65 m² ,: 2,"
            Este apartamento cómodo de buenas dimensiones tiene todo lo que necesita para vivir en el casco antiguo de Barcelona. ",: 2ª,,: XA755-725,,"
                Actualizado el 05/11/2023
            "
El Carmel (Distrito Horta-Guinardó. Barcelona Capital),1.200 €, 16  €/m²,: 1,: 75 m² ,: 75 m² ,: 3,"
            Piso totalmente exterior con terraza privada, reformado a estrenar y con mucha luz natural en la mejor zona del carmel (horta guinardó), junto calle llobregós, el mercado y el metro l5. Detalles:",: 1ª,,: Entre 30 y 50 años,,"
                Actualizado el 04/11/2023
            "
Centre-Passeig i Rodalies (Manresa),950 €, 7  €/m²,: 2,: 120 m² ,: 94 m² ,: 3,"
            Fantàstic pis de disseny al cor de manresa.",: 3ª,,: En buen estado,,"
                Actualizado el 10/10/2023
            "
Centre (Terrassa),900 €, 12  €/m²,: 1,: 75 m² ,: 70 m² ,: 2,"
            Piso de alquiler en el centro de la ciudad de Terrassa.",: 1ª,: 1,: Entre 20 y 30 años,,"
                Actualizado el 04/11/2023
            "
Centre Urbà (Sant Andreu de Llavaneres),1.400 €,,: 2,: 251 m² ,: 250 m² ,: 3,"
            Magnífica propiedad con excelentes vistas, , ubicada en una calle tranquila dentro del casco urbano de Sant Andreu de Llavaneres.Se trata de una vivienda de 270m2 construida en el año 2002, distribuida en tres plantas en una parcela de 370 mtrs. ,con patio trasero y zona de lavar, patio alrededor de la vivienda y destaca el gran patio-porche  delantero..Entrando en la casa, un bonito recibidor da paso al salón comedor de 40 con salida al  patio-porche , donde se disfrutan de las bonitas vistas a la montaña y pueblo. A la izquierda encontramos una cocina oficie totalmente equipada con chimenea, salida a patio trasero y zona de lavar. En la misma planta, hay un baño de cortesía.  Unas escaleras abiertas nos conducen a la primera planta donde se encuentra la zona de noche con 3 habitaciones dobles, 1 baño. .En n la segunda planta, una gran sala abuhardillada con bonitas vigas de madera y salida a terraza de 15mts...La planta sótano cuenta con luz natural y ofrece 100m2 para zona de ocio, garaje para 2 coches y también está situada una pequeña bodega gran espacio de almacenaje...Su ubicación, construcción y detalles hacen de esta propiedad un sueño a su alcance.ESTA PROPIOEDAD SOLO SE ALQUILA CON OPCION DE COMPRA 450.000€.
        ",: En buen estado,: INB371-489-2886,,,"
                Actualizado el 05/11/2023
            "
Els Molins-Poble Sec-Pins Vens (Sitges),850 €,,,: 50 m² ,: 2,: 1,"
            Disponible piso para alquiler, en zona próxima a Estación de Renfe, y del Hospital.  El piso está totalmente rehabilitado, actualizado, y disponible de forma inmediata. Está distribuido en :  salon comedor, dos habitaciones, un baño, y cocina. Apto para un máximo de 3 personas.[IW].
        ",: AG394-PIS0067,,,,"
                Actualizado el 31/10/2023
            "
Can Palet (Distrito Can Palet-Xúquer. Terrassa),1.795 €, 21  €/m²,: 1,: 85 m² ,: 72 m² ,: 4,"
            Se alquila piso en Terrassa solo a empresas (con contrato y factura a nombre de la empresa) de forma temporal, para periodos de entre 32 días y 11 meses.",: 1ª,,: Entre 30 y 50 años,,"
                Actualizado el 31/10/2023
            "
La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),1.525 €, 33  €/m²,: 1,: 45 m² ,: 41 m² ,: 1,"
            Piso de 40 metros en L'Eixample Esquerra. Tiene salón-comedor, 1 habitación doble en suitte (baño con plato de ducha) cocina independiente con frigorífico y equipada con menaje, 1 habitación auxiliar de vestidor y un cuarto lavadero con lavadora y secadora. Está reformado. Alquiler temporal máximo 11 meses. Servicio de Wifi incluida en el precio. Suministros aparte, 125€ mensuales
        ",: 5ª,,: Más de 50 años,,"
                Actualizado el 22/09/2023
            "
El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),850 €, 14  €/m²,: 1,: 57 m² ,: 55 m² ,: 1,"
            Referencia SL0193",: Principal,,,,"
                Actualizado el 03/11/2023
            "
El Putxet-El Farró (Distrito Sarrià-Sant Gervasi. Barcelona Capital),1.350 €, 14  €/m²,: 2,: 94 m² ,: 90 m² ,: 2,"
            Disponible para noviembre. Piso en alquiler en zona mandri, consta de una superfície construida según catastro de 94m² , tiene dos habitaciones, una de ellas con vestidor, 2 baños completos, salón comedor , cocina independiente. Finca con ascensor. Zona muy bíen comunicada y comercial a 2 minutos de la calle mandri.
        ",: 2ª,,: En buen estado,,"
                Actualizado el 02/11/2023
            "
Segle XX (Distrito Segle XX-La Cogullada. Terrassa),985 €, 9  €/m²,: 2,: 106 m² ,: 85 m² ,: 3,"
            Bel-a476 piso de alquiler sin muebles, con parking incluido y con otra plaza de aparcamiento opcional 65€ en el mismo edificio, piso semi-nuevo en perfecto estado rodeado de todo tipo de comercios y servicios a pie del parque de vallparadis donde podrá disfrutar junto a su familia de sus actividades al aire libre.",: 14ª,: Entre 10 y 20 años,: En buen estado,,"
                Actualizado el 27/10/2023
            "
Centre (Sant Cugat del Vallès),1.550 €, 14  €/m²,: 2,: 107 m² ,: 100 m² ,: 4,"
            Piso ubicado en pleno centro, de 107 construidos distribuidos en salón comedor con salida exterior a un amplio  balcón orientado al sur-este, cocina independiente con lavadero, 4 habitaciones (3dobles y 1 individual), 2 baños completos con ducha y bañera respectivamente. Parking opcional.",: 1ª,,: En buen estado,,"
                Actualizado el 03/11/2023
            "
Centre-Passeig i Rodalies (Manresa),600 €, 10  €/m²,: 1,: 55 m² ,: 55 m² ,: 1,"
            Superf. 45 m²,  1 baño, cocina, comedor, suelos, ascensor, calefacción, portero automático, vidrios dobles, exterior, orientación, balcón.
        ",: 2ª,,: En buen estado,,"
                Actualizado el 27/10/2023
            "
El Poble-sec (Distrito Sants-Montjuïc. Barcelona Capital),2.000 €, 23  €/m²,: 2,: 85 m² ,: 78 m² ,: 3,"
            - CONTRATOS TEMPORALES -",: 3ª,,: En buen estado,,"
                Actualizado el 30/10/2023
            "
La Sagrada Família (Distrito Eixample. Barcelona Capital),1.750 €, 17  €/m²,: 6ª,: 100 m² ,: 4,: 2,"
            IMPORTANTE! Para información y visitas envie un whatsapp al: seis ocho cero uno tres siete siete cinco tres. ",,: En buen estado,: SA2441-102937574,,"
                Actualizado el 23/10/2023
            "
La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),900 €,,: En buen estado,: 30 m² ,: 1,: 1,"
            Piso de 35 m² en primera planta. Consta de una habitación, salón con cocina integrada, lavabo y balcón a la calle. Se alquila amueblado y con electrodomésticos. Muy cercano a playa de la Barceloneta.",: TC547-563277,,,,"
                Actualizado el 04/11/2023
            "
El Putxet-El Farró (Distrito Sarrià-Sant Gervasi. Barcelona Capital),1.200 €, 21  €/m²,: 1,: 55 m² ,: 50 m² ,: 2,"
            ¡Bienvenido a tu nuevo hogar en la hermosa zona alta de Barcelona! Este apartamento de 2 habitaciones está listo para darte la bienvenida durante tus estancias temporales en la ciudad.",: Bajo,: En buen estado,: 4516049-RYC.C02FP80 LT,,"
                Actualizado el 06/09/2023
            "
El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),1.500 €, 21  €/m²,: 2,: 70 m² ,: 70 m² ,: 2,"
            Disponible el 16 de Noviembre!  ",: 3ª,,: En buen estado,,"
                Actualizado el 03/11/2023
            "
El Bon Pastor (Distrito Sant Andreu. Barcelona Capital),1.300 €, 16  €/m²,: 1,: 80 m² ,: 73 m² ,: 3,"
            CLAU IMMOBILIARIA alquila vivienda en Barcelona, muy bien comunicada, cerca de todos los servicios, comercios, colegios, institutos, transporte publico y ambulatorios.",: 1ª,: En buen estado,: SA76-23043,,"
                Actualizado el 05/11/2023
            "
El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),1.900 €, 30  €/m²,: 1,: 63 m² ,: 54 m² ,: 2,"
            Este apartamento cómodo de buenas dimensiones tiene todo lo que necesita para vivir en el casco antiguo de Barcelona. Ubicado cerca de Las Ramblas.",: 3ª,,: XA755-499,,"
                Actualizado el 05/11/2023
            "
L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),690 €, 46  €/m²,: Bajo,: 15 m² ,: 1,: 1,"
            Piso de 1 habitación en la zona de hospital clinic. Amueblado. Ascensor. Cocina equipada. 1 baño con bañera. Registro de agentes inmobiliarios. Aicat:7277",: En buen estado,: IF6507-152382,,,"
                Actualizado el 03/11/2023
            "
Centre-Cordelles (Cerdanyola del Vallès),850 €,,: EP820-P-4070,: 60 m² ,: 2,: 1,"
            Piso de 60m² todo a estrenar",,,,,"
                Actualizado el 04/11/2023
            "
Montserrat (Distrito Montserrat-Torre-sana. Terrassa),850 €, 14  €/m²,: 2,: 60 m² ,: 60 m² ,: 2,"
            Piso de Dos habitaciones, Comedor estar exterior, Cocina completa, Dos Baño completos, Suelos de Parket, Terraza de 15m a pie de comedor, Carpintería interior de Haya, Carpintería exterior de aluminio, Puerta Blindada. Calefacción de gas ciudad, Servicios dados de alta de agua, luz y gas, ascensor Entrega inmediata.
        ",: Bajo,: En buen estado,: 4523835-000091,,"
                Actualizado el 30/10/2023
            "
La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),4.900 €, 22  €/m²,: 2,: 218 m² ,: 200 m² ,: 3,"
            Exclusivo y elegante despacho / vivienda  de 218 m² en diagonal-tuset - totalmente reformado",: 1ª,,: En buen estado,,"
                Actualizado el 03/11/2023
            "
La Maternitat-Sant Ramon (Distrito Les Corts. Barcelona Capital),1.400 €, 13  €/m²,: 2,: 103 m² ,: 90 m² ,: 3,"
            Precioso piso de obra joven. 3 habitaciones, 1 en Suite con vestidor y 2 individuales. Gran salón comedor. Cocina equipada super amplia. 2 baños completos. Calefacción, aire acondicionado. Totalmente exterior con vistas despejadas. Amueblado y equipado moderno. Piso muy bonito ideado para personas que vengan a la ciudad para realización de master, licenciaturas y diversos empleos.
        ",: 3ª,,: Entre 10 y 20 años,,"
                Actualizado el 05/11/2023
            "
El Camp de l'Arpa del Clot (Distrito Sant Martí. Barcelona Capital),1.200 €, 28  €/m²,: 1,: 42 m² ,: 38 m² ,: 1,"
            ",: 8ª,: SA509-48702/750,,,"
                Actualizado el 01/11/2023
            "
Valldaura (Manresa),490 €, 10  €/m²,: 1,: 45 m² ,: 40 m² ,: 1,"
            Et presentem aquest apartament en el que només hi faltes tu! Consta de 40 m2, distribuits en menjador amb cuina americana, 1 habitació doble, bany complet, balconet. Sense ascensor. El pis es lloga buit, sense cap tipus de mobiliari, el que estàs veient en les fotografies és un decorat de Home Staging que no s'inclou en el lloguer del pis. El preu de lloguer no inclou les despeses derivades en el consum dels subministraments de llum ni aigua. Tampoc inclou l'import de la Taxa de recollida d'escombraries..
        ",: 1ª,,: En buen estado,,"
                Actualizado el 02/11/2023
            "
El Raval (Distrito Ciutat Vella. Barcelona Capital),1.550 €,,: 1,: 64 m² ,: 48 m² ,: 2,"
            Ático de ALQUILER TEMPORAL disponible hasta el 1 de julio de 2024.  ",,: En buen estado,: XA685-2889,,"
                Actualizado el 03/11/2023
            "
La Sagrera (Distrito Sant Andreu. Barcelona Capital),1.250 €, 16  €/m²,: 1,: 76 m² ,: 74 m² ,: 3,"
            Fantástico piso completamente reformado, localizado en la Calle Concepción Arenal, en el barrio La Sagrera/Fabra i Puig a la que se puede acceder por el metro de Congrés (L5) o La Sagrera (L1). El barrio cuenta con elementos cercanos como restaurantes, supermercados, farmacias, mercado de abastos, zona comercial, etc...",: 3ª,,: En buen estado,,"
                Actualizado el 31/10/2023
            "
Sant Gervasi-La Bonanova (Distrito Sarrià-Sant Gervasi. Barcelona Capital),1.900 €, 26  €/m²,: 2,: 73 m² ,: 65 m² ,: 1,"
            Nos encontramos en un Atico con muchisima luz y sol. Tiene dos amplias terrazas. Entras en un recibidor con un armario empotrado y te lleva a un salón con una gran terraza orientada",: 7ª,,: En buen estado,,"
                Actualizado el 30/10/2023
            "
Estadi-Horta Vermella-Santa Anna (Vic),725 €, 8  €/m²,: 1,: 86 m² ,: 80 m² ,: 2,"
            Pis zona Atlàntida, molt tranquil·la i fàcil accés a comerç de proximitat, a 10 minuts del centre.",: 4ª,,: En buen estado,,"
                Actualizado el 31/10/2023
            "
Calella,700 €,,: 1,: 45 m² ,: 40 m² ,: 1,"
            Descubre la vida costera en este encantador apartamento reformado en Calella, a escasos pasos de la hermosa playa de Calella de Mar. Este luminoso y acogedor hogar ofrece comodidades modernas y una ubicación ideal para experimentar lo mejor de la costa catalana.  ",,: EP829-1083,,,"
                Actualizado el 01/11/2023
            "
Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),1.600 €, 18  €/m²,: 2,: 85 m² ,: 78 m² ,: 3,"
            Ponemos en alquiler este precioso y práctico apartamento en Barcelona, en la zona de Sant Gervasi, concretamente en una de sus arterias, la calle Balmes.",: 3ª,: SA4400-21027/3233,,,"
                Actualizado el 30/10/2023
            "
